title,author,language,avg_ratings,ratings_count,reviews_count,publisher,publish_year,num_pages,page_format,genres
The Alchemy Fire Murder: a Mary Wandwalker Mystery,Susan  Rowland,English,4.36,755,12,Chiron Publications,2023.0,352.0,Paperback,"['Mystery', 'Mystery Thriller']"
Title: Audition,Ryū Murakami,English,3.52,10810,1366,Bloomsbury Publishing PLC,2009.0,208.0,Hardcover,"['Horror', 'Fiction', 'Japanese Literature', 'Japan', 'Thriller', 'Mystery', 'Contemporary', 'Asia', 'Adult', 'Asian Literature']"
Winter's Heart,Robert Jordan,English,3.96,128079,3290,Tor Fantasy,2002.0,780.0,Mass Market Paperback,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Epic', 'Adventure', 'Magic', 'Adult']"
"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",Julie Powell,English,3.71,158273,8200,"Little, Brown and Company",2005.0,310.0,Hardcover,"['Nonfiction', 'Memoir', 'Food', 'Cooking', 'Biography', 'Chick Lit', 'Biography Memoir', 'Humor', 'Cookbooks', 'Foodie']"
My Favorite Mistake,Chelsea M. Cameron,English,3.98,56139,2524,Harlequin HQN,2013.0,391.0,Paperback,"['New Adult', 'Romance', 'College', 'Contemporary', 'Contemporary Romance', 'Young Adult', 'Chick Lit', 'Adult', 'Love', 'Fiction']"
Monument 14,Emmy Laybourne,English,3.9,23506,3123,Feiwel & Friends,2012.0,304.0,Hardcover,"['Young Adult', 'Dystopia', 'Science Fiction', 'Post Apocalyptic', 'Survival', 'Fiction', 'Apocalyptic', 'Teen', 'Adventure', 'Fantasy']"
Half the Sky: Turning Oppression into Opportunity for Women Worldwide,Nicholas D. Kristof,English,4.28,54241,5310,Knopf,2009.0,294.0,Hardcover,"['Nonfiction', 'Feminism', 'Womens', 'Social Justice', 'Politics', 'Sociology', 'Africa', 'Gender', 'Education', 'Audiobook']"
"Ada, or Ardor: A Family Chronicle",Vladimir Nabokov,English,4.14,11122,965,Vintage,1990.0,606.0,Paperback,"['Fiction', 'Classics', 'Russia', 'Literature', 'Novels', 'Russian Literature', 'Romance', '20th Century', 'Literary Fiction', 'American']"
What Happened to Goodbye,Sarah Dessen,English,3.95,86808,4640,Viking Juvenile,2011.0,402.0,Hardcover,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Chick Lit', 'Teen', 'Young Adult Contemporary', 'High School', 'Young Adult Romance']"
Off the Grid: The Catalyst,Brian  Courtney,English,4.18,342,28,Self Published,2015.0,270.0,Paperback,"['New Adult', 'Suspense', 'Thriller', 'Modern', 'Mystery', 'Fiction', 'Young Adult', 'Speculative Fiction', 'Adult Fiction', 'Drama']"
The Girl Who Drank the Moon,Kelly Barnhill,English,4.12,87815,14270,Algonquin Young Readers,2016.0,388.0,Hardcover,"['Fantasy', 'Middle Grade', 'Fiction', 'Young Adult', 'Childrens', 'Magic', 'Audiobook', 'Witches', 'Dragons', 'Juvenile']"
Eight Cousins,Louisa May Alcott,English,4.01,36992,1326,Dover Publications,2007.0,224.0,Paperback,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Childrens', 'Historical', 'Middle Grade', 'Literature', '19th Century', 'American']"
Prometheus Bound,Aeschylus,English,3.93,17178,903,Oxford University Press,1990.0,144.0,Paperback,"['Classics', 'Plays', 'Mythology', 'Drama', 'Fiction', 'Theatre', 'Poetry', 'Literature', 'Ancient', 'Greece']"
The Butterfly Garden,Dot Hutchison,English,4.08,164369,15301,Thomas & Mercer,2016.0,288.0,Kindle Edition,"['Thriller', 'Horror', 'Mystery', 'Fiction', 'Mystery Thriller', 'Crime', 'Suspense', 'Adult', 'Dark', 'Audiobook']"
Please Look After Mom  ,Shin Kyung-sook,English,3.88,37063,6280,Knopf,2011.0,237.0,Hardcover,"['Fiction', 'Contemporary', 'Asia', 'Asian Literature', 'Family', 'Novels', 'Literary Fiction', 'Adult', 'Literature', 'Adult Fiction']"
Best Served Cold,Joe Abercrombie,English,4.21,81917,4220,Gollancz,2009.0,534.0,Hardcover,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Dark Fantasy', 'Audiobook', 'High Fantasy', 'Adventure', 'Adult', 'Science Fiction Fantasy', 'War']"
Ace of Spades,Faridah Àbíké-Íyímídé,English,4.21,68224,13553,Usborne ,2021.0,470.0,Paperback,"['Young Adult', 'Mystery', 'Thriller', 'LGBT', 'Contemporary', 'Fiction', 'Mystery Thriller', 'Queer', 'Lesbian', 'Audiobook']"
The Viscount Who Loved Me,Julia Quinn,English,4.04,298569,23938,Avon,2006.0,354.0,Mass Market Paperback,"['Romance', 'Historical Romance', 'Historical', 'Historical Fiction', 'Fiction', 'Adult', 'Regency', 'Audiobook', 'Regency Romance', 'Chick Lit']"
