title,author,language,avg_ratings,ratings_count,reviews_count,publisher,publish_year,num_pages,page_format,genres,link
The Fire Eternal,Chris d'Lacey,English,3.99,"13,805",393,Orchard Books,2007.0,432.0,Hardcover,"['Fantasy', 'Dragons', 'Young Adult', 'Fiction', 'Middle Grade', 'Childrens', 'Magic', 'Adventure', 'Urban Fantasy', 'Science Fiction']",https://www.goodreads.com/book/show/1891296.The_Fire_Eternal
The Old Straight Track : The Classic Book on Ley Lines,Alfred Watkins,,3.62,222,35,Abacus,2007.0,252.0,Paperback,"['Nonfiction', 'History', 'British Literature', 'Archaeology', 'Folklore', 'Nature', 'Occult', 'Travel', 'Walking', 'Ancient History']",https://www.goodreads.com/book/show/2142454.The_Old_Straight_Track_
Girl Online,Zoe Sugg,English,3.67,"63,515","6,303",Atria / Keywords Press,2014.0,352.0,Hardcover,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Chick Lit', 'Young Adult Contemporary', 'Mental Health', 'Realistic Fiction', 'Audiobook', 'Teen']",https://www.goodreads.com/book/show/22510983-girl-online
The Stars My Destination,Alfred Bester,English,4.07,"48,814","3,333",Vintage,1996.0,258.0,Paperback,"['Science Fiction', 'Fiction', 'Classics', 'Cyberpunk', 'Science Fiction Fantasy', 'Space Opera', 'Fantasy', 'Speculative Fiction', 'Novels', 'Space']",https://www.goodreads.com/book/show/333867.The_Stars_My_Destination
Problems at the Pub,Kirsten Fullmer,English,4.34,"5,340",33,,2020.0,270.0,Kindle Edition,"['Fiction', 'Drama', 'Novels', 'Contemporary', 'Mystery', 'Cozy Mystery']",https://www.goodreads.com/book/show/55927483-problems-at-the-pub
Reason to Breathe,Rebecca    Donovan,English,4.21,"91,546","6,266",,2011.0,377.0,Kindle Edition,"['Romance', 'Young Adult', 'Contemporary', 'New Adult', 'Abuse', 'Fiction', 'Contemporary Romance', 'High School', 'Dark', 'Drama']",https://www.goodreads.com/book/show/11561469-reason-to-breathe
Conqueror,Conn Iggulden,English,4.45,"11,441",552,HarperCollins,2011.0,546.0,Paperback,"['Historical Fiction', 'Fiction', 'Historical', 'War', 'Fantasy', 'Asia', 'Novels', 'Medieval', 'Military Fiction', 'Action']",https://www.goodreads.com/book/show/12280500-conqueror
Pandora's Star,Peter F. Hamilton,English,4.23,"47,817","2,520",Del Rey,2005.0,768.0,Hardcover,"['Science Fiction', 'Fiction', 'Space Opera', 'Science Fiction Fantasy', 'Audiobook', 'Fantasy', 'Space', 'Aliens', 'Adventure', 'Speculative Fiction']",https://www.goodreads.com/book/show/45252.Pandora_s_Star
The Broom of the System,David Foster Wallace,English,3.84,"21,750","1,770",Penguin Books,2004.0,467.0,Paperback,"['Fiction', 'Novels', 'Literature', 'Contemporary', 'American', 'Literary Fiction', 'Philosophy', 'Humor', 'Americana', 'The United States Of America']",https://www.goodreads.com/book/show/6750.The_Broom_of_the_System
Conversation in the Cathedral,Mario Vargas Llosa,English,4.35,"8,729",752,Harper Perennial,2005.0,608.0,Paperback,"['Fiction', 'Classics', 'Literature', 'Latin American', 'Novels', 'Spanish Literature', 'Latin American Literature', 'Nobel Prize', 'Historical Fiction', '20th Century']",https://www.goodreads.com/book/show/53970.Conversation_in_the_Cathedral
Underworld,Meg Cabot,English,3.87,"22,828","1,523",Point,2012.0,336.0,ebook,"['Young Adult', 'Fantasy', 'Mythology', 'Romance', 'Paranormal', 'Greek Mythology', 'Paranormal Romance', 'Supernatural', 'Fiction', 'Retellings']",https://www.goodreads.com/book/show/10799881-underworld
A Girl of the Limberlost,Gene Stratton-Porter,English,4.16,"20,165","1,717",Quiet Vision Pub,2004.0,222.0,Paperback,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Childrens', 'Romance', 'Historical', 'Nature', 'Middle Grade', 'Coming Of Age']",https://www.goodreads.com/book/show/17567.A_Girl_of_the_Limberlost
The Sea of Monsters,Rick Riordan,English,4.24,"1,032,761","39,507",Hyperion Books,2006.0,279.0,Hardcover,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology', 'Childrens', 'Urban Fantasy', 'Audiobook']",https://www.goodreads.com/book/show/28186.The_Sea_of_Monsters
